Year,AK,HI,PR,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1987,-999,-999,-999,-999,-999,0.0,-999,0.03,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.04,0.73,0.0,-999,0.05,0.0,0.13,0.0,0.08,-999,0.0,0.0,0.05,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.05,-999,0.0,0.0,0.05,0.0,-999
1988,-999,-999,-999,-999,-999,-999.0,-999,0.18,-999,-999,-999,-999,0.09,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.6,2.42,0.0,-999,0.23,0.0,0.53,0.11,0.08,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.97,-999,-999,0.02,-999,0.0,0.0,0.2,0.0,-999
1989,-999,-999,-999,-999,-999,0.0,-999,0.96,-999,-999,-999,-999,0.06,0.12,0.0,0.0,0.53,-999,-999,-999,-999,0.29,0.19,2.26,0.53,-999,3.1,0.0,5.15,0.67,0.22,-999,0.2,0.0,0.06,0.0,-999,0.32,0.0,-999,-999,1.22,-999,-999,1.8,-999,0.0,0.0,0.05,0.0,-999
1990,-999,-999,-999,-999,-999,0.0,-999,0.44,-999,-999,-999,-999,0.0,0.72,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.96,0.0,-999,2.17,0.0,1.89,0.12,0.0,-999,0.04,1.34,0.01,0.0,-999,0.0,0.0,-999,-999,0.69,-999,-999,0.39,-999,0.0,0.0,0.01,0.0,-999
1991,-999,-999,-999,-999,-999,0.0,-999,0.03,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.1,0.0,-999,0.26,0.0,0.19,0.0,0.0,-999,0.0,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.02,-999,0.0,0.0,0.08,0.0,-999
1992,-999,-999,-999,-999,-999,0.0,-999,0.05,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.3,0.0,-999,0.29,0.0,0.03,0.0,0.0,-999,0.04,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.01,-999,-999,0.02,-999,0.0,0.0,0.01,0.0,-999
1993,-999,-999,-999,-999,-999,0.0,-999,0.05,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.71,0.1,0.71,0.0,-999,0.37,0.0,0.92,0.0,0.15,-999,0.04,0.0,0.32,0.0,-999,0.0,0.0,-999,-999,0.07,-999,-999,0.02,-999,0.59,0.0,0.01,0.0,-999
1994,-999,-999,-999,-999,-999,-999.0,-999,0.08,-999,-999,-999,-999,0.13,0.0,0.0,0.49,0.0,-999,-999,-999,-999,1.71,1.58,4.3,0.0,-999,0.58,0.0,3.84,0.0,0.15,-999,0.04,0.0,0.84,0.71,-999,0.0,0.0,-999,-999,1.11,-999,-999,0.02,-999,0.84,0.0,2.3,1.0,-999
1995,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.29,0.02,0.01,0.0,-999,0.22,0.0,0.02,0.0,0.08,-999,0.04,0.0,0.01,0.0,-999,0.0,0.0,-999,-999,0.07,-999,-999,0.02,-999,0.0,0.0,0.01,-999.0,-999
1996,-999,-999,-999,-999,-999,0.0,-999,0.15,-999,-999,-999,-999,0.89,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.0,1.74,7.0,0.0,-999,3.01,0.0,5.91,0.12,0.04,-999,0.11,0.0,0.33,0.0,-999,0.0,0.0,-999,-999,1.72,-999,-999,0.15,-999,0.0,0.0,3.33,0.0,-999
1997,-999,-999,-999,-999,-999,0.0,-999,0.04,-999,-999,-999,-999,0.0,0.0,0.0,0.0,0.0,-999,-999,-999,-999,0.29,0.05,0.56,0.0,-999,1.3,-999.0,0.54,0.0,0.17,-999,0.04,0.0,0.0,0.0,-999,0.0,0.0,-999,-999,0.05,-999,-999,0.03,-999,0.0,0.0,0.14,0.0,-999
1998,-999,-999,-999,-999,-999,0.0,-999,0.02,-999,-999,-999,-999,0.0,0.05,0.0,0.0,0.0,-999,-999,-999,-999,0.0,0.02,0.03,0.0,-999,0.63,-999.0,0.18,0.0,0.0,-999,0.04,0.0,0.03,0.0,-999,0.0,0.0,-999,-999,0.13,-999,-999,0.02,-999,0.0,0.0,0.01,0.0,-999
